"Lemma
（見出し語）","Japanese
(Short)","Commentary
(解説)"
tattoo,タトゥー,帰営らっぱ(太鼓). ドンドン(コツコツ)たたき続ける音. 入れ墨(をする). 彫り物
tattooed,入れ墨,入れ墨をした 
tau,タウ,(第19ギリシア文字)タウ. Τ. τ
taunt,愚弄,あざける. なじる
taunting,嘲り,ばかにした 
Taurus,牡牛座,牡牛座. Taurus
taut,ピンと張った,張りつめた. ぴーんと張った
tautology,トートロジー,類語反復. 考えを不必要に繰り返して表現すること. 同語反復. 類語の重複
tavern,居酒屋,酒屋. バー(特にむさ苦しい. 低級な酒場を指す)
Taverna,タベルナ,タベルナ(ギリシャ料理の軽食店. 原語はイタリア語) 
tawdry,安っぽい　,安ぴかの. 趣味の悪い
tawny,黄褐色の,"黄褐色の. 茶色い. 朽ち葉,朽ち葉色"
tax,税,税. 課税する. 重荷. 負担
taxa,分類群,分類群 
taxable,課税,課税 
taxation,課税,課税. 徴税. 租税. 税収
taxi,タクシー,タクシー. タクシーで行く. 陸上をゆっくり進む
taxicab,タクシー,タクシー
taxidermist,剥製師,剥製師
taxol,タクソール,"タキソール. がん化学療法で用いられる有糸分裂阻害剤の一つ. セイヨウイチイの樹皮から単離. 肺がん,卵巣がん,乳がん,進行性カポジ肉腫患者他の治療に用いられる"
taxon,分類群,分類群 
taxonomic,分類上の,分類(法)の. 分類学の
taxonomy,分類,分類学
taxpayer,納税者,納税者
taxwise,taxwise,"税金に関し(-wise. に関し,の意)"
Tay,テイ,Tay-Sachs diseaseテイ-サックス病. ガングリオシドという脂質が脳内の神経細胞に蓄積されて起こる遺伝性疾患.  2. Tayタイ語群に属する言語.  3. 人名
Taylor,テイラー,テイラー (人名)
TB,TB,Thymol Blue. チモールブルー(pH指示薬) 他
TC,TC,テラサイクル(=テラヘルツ)　2. traveler's check. 3. 臨界温度critical temperature 
TCD,TCD,Thermal Conductivity Detector. 熱伝導度型ガスクロマトグラフィー用検出器
TCH,TCH,Tooth Contacting Habit. (歯列接触癖)の略
Tchaikovsky,チャイコフスキー,"チャイコフスキー. ロシアの作曲家. 1840年生. 代表作は白鳥の湖,くるみ割り人形などのバレエ,ピアノ曲,ヴァイオリン協奏曲,交響曲第4-第6など"
TCR,TCR,T cell receptor. T細胞の細胞膜上に発現している抗原受容体分子
tea,お茶,"茶. 2. ドレミのシ(Doe,Ray,Me,Far,Sew,La,Tea)"
teach,教える,教える
teacher,先生,先生
teaching,ティーチング,教育. 授業. 教え. 教義
teacup,ティーカップ,茶碗
teahouse,茶屋,(日本･中国の)茶店
teak,チーク,チークの木
teakettle,やかん,やかん. 茶がま
teal,ティール,小ガモ
team,チーム,チーム. 組. 団. 作業仲間
teammate,チームメイト,チームメート
teamster,御者,トラック運転手
teamwork,チームワーク,チームワーク. 共同作業. 協力関係
teapot,ティーポット,紅茶注ぎ. きゅうす
tear,涙,"涙. 2. 引き裂く. (tore(過去), torn(過去分詞)) "
tearful,涙ぐんだ,涙ぐんだ
tearjerker,tearjerker,お涙頂戴もの. 感傷的な映画. 涙を誘う. 泣ける. 感傷的な
tearoom,ティールーム,ティールーム. 喫茶店
tearsheet,切り取りページ,(新聞･雑誌などの)はぎ取りページ
teary,涙の,しょっぱい. 塩気のある. 悲しい. 涙に濡れた. 涙の. 涙をたたえた
tease,いじめる,にねだる. じらす. 悩ます. いじめる. (cf. irritate. teas. peeve. annoy. provoke. (見せびらかして)tantalize)
teaser,ティーザー,いじめる人. 悩ます人. 男をじらす女. 難問
teasing,からかい,からかう. いじめる. じらすような
teaspoon,ティースプーン,茶さじ
teat,乳首,乳首. (哺乳動物の)乳頭. 小袋. 乳頭状突起. 哺乳瓶の乳首
teatro,テアトロ,テアトロ(劇場. 演劇. シアター. イタリア語) 
tech,技術の,技術の. 科学技術. 技術者
techie,専門的な,専門的な 
Technet,Technetの,Technet(社名)　他
technical,テクニカル,手法の. 技術の. 工業の
technicality,専門的事項,専門的に
technically,技術的に,純法律的に. 専門的に言えば
technician,技術者,専門家. 技術家
technique,技術,方法. 技術. 技巧
techno,テクノ,テクノ
technocrat,テクノクラート,専門技術者. テクノクラート
technological,技術の,技術の
technologically,技術的に,技術的に 
technologist,科学技術者,科学技術者 
technology,テクノロジー,テクノロジー. 科学技術. 工芸学
tectonic,地殻変動の,建築の. 建築学上の. 構造変化の. 構造上の. 築造の
ted,テッド,広げて干す
Teddy,テディ,"テディベア(Teddy bear. 狩猟好きの米国のTheodore“Teddy”Roosevelt大統領が子グマを見逃してあげた話がヒントで生まれた熊のぬいぐるみ). 2. テディ(下着,ランジェリーの一種)"
tedious,退屈な,たいくつな. 退屈な. あきあきする. 冗漫な
tedium,退屈,退屈. あきあきすること
tee,ティー,はじめる. の準備をする. ティー. T
teem,注ぐ,でいっぱいである. 充満する. 豊富にある(いる)
teen,ティーン,10代の. 13-19才の
teenage,十代の,十代
teenaged,十代の,十代の 
teenager,ティーンエイジャー,ティーンエイジャー(語源はteenの付く13才から19才まで)
teens,十代の若者たち,10代. 10代の若者. (語源は数字に-teenと付く13-19才の若者)
teensy,ごく小さい　,ごく小さい
teeny,小さな,teen-ager(13才から19才まで)
teeter,シーソー,シーソーに乗る. 動揺する. ぐらつく
teflon,テフロン,テフロン. (耐熱性のすぐれた)フッ素樹脂名
Tehran,テヘラン,"テヘラン. イランの首都. モスクの他,キリスト教会･ユダヤ教のシナゴーグが多く,宮殿や学校も多い. シーア派イスラム教徒のペルシア人が大半. ペルシア語が主な言語"
tel,TEL,電話番号 
telecast,テレビ放送,テレビ放送
telecom,テレコム,電気通信 
telecommunication,テレコミュニケーション,(遠距離の)電気通信. 電気通信術
telecommunications,電気通信,電気通信 
teleconference,テレビ会議,テレビ会議 
telegenic,telegenic,テレビ映りのよい. テレビ向きの. テレビうつりのよい
telegram,電報,電報. 電信
telegraph,電信,電信. 電信機. 電報. 電報で～を知らせる. 電報を打つ
telegraphic,電信の,電信の. 簡潔な
Telekom,テレコム,テレコム(通信会社名) 
telemarketer,テレマーケティング,テレマーケティングをする人 
telemarketing,テレマーケティング,テレマーケティング
telemedicine,遠隔治療,遠隔治療 
telemetry,テレメトリー,テレメーター法(遠隔測定法)
telepathic,テレパシーの,テレパシーの 
telepathy,テレパシー,テレパシー. 精神感応(術)
telephone,電話,電話(をする)
telescope,望遠鏡,望遠鏡
teletubby,テレタビー,"テレタビーズ. イギリスのBBCで1997年から放送され,120カ国以上の国で視聴されている幼児向けテレビ番組"
teletype,テレタイプ,teletypewriterの商標名. テレタイプ社. 2. テレタイプで送る
televangelist,テレビ宣教師,テレビ伝道師
televise,放映する,テレビで放送(受像)する
television,テレビ,テレビ
telex,テレックス,テレックス
tell,伝える,伝える. (イメージ:ある内容を相手に伝達することに焦点). 言う. 区別する
teller,テラー,窓口係
telling,伝える,手ごたえのある. 有効な. (知らず知らず)感情(内情)を外に表わす. 効果的な. 話すこと. 教えること. 多くを語る
telltale,密告者,密告者. タイムレコーダー
telluride,テルル化物,テルル化物. (cf. tellurium)
tellurium,テルル,テルル. 非金属元素. 元素記号Te. 太陽電池や各種電子部品の材料. ビスマスとの合金は熱電変換素子. 先端工業に欠かせぬレアメタルの一種. 日本でも産出する
telly,テレビセット,テレビ. I saw it on the telly. それはテレビで見た
telomerase,テロメラーゼ,"テロメラーゼ. 真核生物の染色体末端テロメアの配列を伸ばす酵素. 活性が低いと細胞分裂毎にテロメアが縮み分裂停止. 活性抑制でのガン治療と,活性を高め細胞分裂寿命の延長で注目"
telomere,テロメア,"テロメア. 真核生物の染色体の末端部にある構造,分裂のたびに短くなるとされる"
telomeric,テロメアの,テロメア(telomere)の 
telophase,終期,telophase (細胞分裂)終期. 分裂終期
TEM,TEM,Transmission Electron Microscope. 透過型電子顕微鏡
temblor,地震,(スペイン語から)地震(earthquake)
temerity,向こう見ず,向こう見ず. 無鉄砲
TEMP,TEMP,temporary staff. 臨時職員 2. Temperature 他 
temper,気性,気分. 機嫌. 性質. を調節する. 和らげる. 粘土をこねる
temperament,気質,性格. 激しい気性
temperamental,気まぐれな,気性からくる. 気質上の
temperance,禁酒,節制. 節度. 自制. 禁酒. 克己
temperate,温暖な,穏やかな. 節度のある. 度を過ごさない. 節酒の
temperature,温度,温度. 気温. 寒暖. 体温. 熱. 気質
tempest,テンペスト,あらし. 嵐. 大嵐. 暴風雨. 大荒れ
tempestuous,激しい　,大あらしの
template,テンプレート,(生化)遺伝子複製の鋳型
temple,寺,こめかみ. 2. 神殿. 神殿･寺院. 教会. 殿堂
tempo,テンポ,テンポ. 速度
temporal,時間的な,現世の. 時間の. 俗世の. 束の間の. 側頭の. 時制の
temporally,時間的に,時間的に 
temporarily,一時的に,仮りに. 仮に. 当座. 一時的に
temporary,一時的な,一時的な. はかない. 仮の. 当座の. 臨時の
tempt,誘惑する,を誘惑する. を導く. 心を引き付ける
temptation,誘惑,誘惑. 誘惑物
tempting,魅力的な,誘惑的な. 心をそそる. うっとりさせる
temptress,誘惑,誘惑する女. 妖婦
ten,10 ,10. 10の
tenable,批判に耐えられる,持続できる
tenacious,粘り強い　,に固執している. 固執する. 粘り強い. 強靭. 頑強. 執念
tenacity,粘り強さ,固執. 粘り強さ. 頑強. 不屈
tenancy,借地,借家. 借地. 所有
tenant,テナント,借家人. 借地人. 居住者
tend,傾向がある,する傾向がある. しがちである
tendency,傾向,傾向. 癖
tendentious,偏向し,(文書･発言)傾向的な. 宣伝的な. 偏向した
tender,入札,差し向ける. を提出する. を申し出る. 入札する. 支払う. 気を使う. 柔らかい. もろい. 虚弱な. 感じやすい. 提供. (機関車の)炭水車
tenderloin,テンダーロイン,テンダーロイン. ヒレ肉. 2. 盛り場. 不法の街
tenderly,優しく,そっと(gently). 慎重に. 鋭敏に. やさしく
tenderness,優しさ,柔らかさ. もろさ. 敏感. 愛情
tendon,腱,腱. the Achilles' tendonアキレス腱
tendril,巻きひげ,巻きひげ. つる
tenement,長屋,保有財産. 住宅. 家屋. アパート. 借地. 借家
Tenerife,テネリフェ島,テネリフェ島. 大西洋にあるスペイン領カナリア諸島の島
tenet,信条,主義. 教義. (政治･宗教･学派で真理とみなされる)見解
tenfold,10倍に,10倍の(に)
Tennessee,テネシー州,"テネシー州,TN"
tennis,テニス,テニス
tenor,テノール,男子高音. (次の順に高くなる. bass. baritone. tenor. alto(女声). treble(女声soprano)
tense,時制,強くはった. 緊張した. 張り詰めた. 堅苦しい. ぴんと張った. 時制
tensely,張り詰めた様子で,張り詰める. 緊張する
tension,テンション,緊張. 伸張. 緊迫. 電圧. 張力
tent,テント,テント
tentacle,触手,触覚. 触手. 触糸. 触毛. (同源)tentative
tentative,暫定的な,試験的な. 仮の. 試案. 仮説
tentatively,暫定的に,暫定的に 
tenth,第10,(日付の)10日. 第10番目. 第10の. 10番目の
tenuous,希薄な,あいまいな. 薄い. 細い
tenure,在職期間,在職期間. 保有条件. 保有期間. 終身的地位
tenured,保有権のある,(特に大学教授が)終身在職権をもつ. 終身雇用の
tepee,ティピー,ティピー(北米インディアンのテント小屋)
tepid,ぬるい　,生ぬるい. 熱意のない
tequila,テキーラ,(ｽﾍﾟｲﾝ語)テキーラ. メキシコ産の蒸留酒
tercel,ターセル,雄のハヤブサ
Terengganu,トレンガヌ,トレンガヌ州(マレーシア). 同国の東岸. 南シナ海に面する行政区画(州)の一つ
Teresa,テレサ,"スペイン語,ポルトガル語の女性名. マザーテレサ他"
term,期間,期間. 用語. 条件. 規約. 間柄
terminal,ターミナル,死に至る. 終末の. 2. . 終点. ターミナル. 3端末. 端子
